PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
65,225,0.0987643399,-0.002515951508,1
65,241,0.1087035336,0.026056131,1
65,257,0.1135958829,-0.006424108877,1
65,273,0.1399401822,-0.009807745361,1
65,289,0.1414202848,0.04470809325,1
65,305,0.1656455197,-0.002235571305,1
65,321,0.1089152493,-0.04903427737,1
65,337,-0.0641804538,0.09749587399,1
65,353,-0.1540146671,0.113914331,1
65,369,-0.2962704502,-0.0485917725,1
65,385,-0.486816486,0.0089472137,1
65,401,-0.6678467594,0.08309348445,1
81,17,0.2526911892,0.09103949902,1
81,33,0.1409663357,-0.00762764575,1
81,49,0.005956570088,0.1177957856,1
81,65,-0.03809364659,0.1638773286,1
81,81,-0.07061203344,0.05128081676,1
81,97,-0.144281467,0.08734496471,1
81,113,-0.4679833256,0.06370337839,1
81,129,-0.3879681431,0.02701362008,1
81,145,-0.2828827701,-0.05215088493,1
81,161,-0.2892628513,-0.04691139825,1
81,177,-0.08122261387,-0.045257727,1
81,193,-0.01184089999,-0.09938637386,1
81,209,0.05294219634,-0.05893723142,1
81,225,0.1473769345,-0.00789085997,1
81,241,0.1223029294,0.01410468445,1
81,257,0.1135005155,0.0029371582,1
81,273,0.1003913083,-0.03060738221,1
81,289,0.1276683011,-0.002863089007,1
81,305,0.1424693265,0.09237845762,1
81,321,0.09564010286,0.1009348236,1
81,337,0.013877789,0.2007292114,1
81,353,-0.07992370943,0.1136167846,1
81,369,-0.3433132968,-0.1138993897,1
81,385,-0.3791313968,0.005725701853,1
81,401,-0.1899014316,0.08415206294,1
97,17,0.2527693905,0.1728227937,1
97,33,0.1382674374,0.03155883191,1
97,49,-0.02336510043,0.182584604,1
97,65,-0.02649124484,0.2918871248,1
97,81,-0.1067047916,0.07286055919,1
97,97,-0.1629296146,0.08313735362,1
97,113,-0.1848831974,0.08404906625,1
97,129,-0.1604557834,-0.001014868086,1
97,145,-0.1423950992,-0.1038819946,1
97,161,-0.1447697483,-0.1106034912,1
97,177,-0.05049522737,-0.2412358917,1
97,193,-0.01282890656,-0.2309934295,1
