PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
17,17,2.649013817,-0.02954909559,1
17,33,0.3955974091,0.1247077251,1
17,49,-0.8246756438,-0.8422627186,1
17,65,-0.7811791708,-0.7989811635,1
17,81,-0.3115719891,-0.4575638508,1
17,97,0.4394211204,-0.4063973164,1
17,113,0.6969045544,-0.1564755177,1
17,129,0.1579568257,-0.07517096754,1
17,145,-0.3908956532,0.02890541796,1
17,161,-0.4806824175,0.1776747966,1
17,177,-0.07183354554,0.1133742595,1
17,193,0.2976129985,0.2443614269,1
17,209,0.4824777916,0.3862395549,1
17,225,0.5077155366,0.4625239635,1
17,241,0.3305645343,0.107238319,1
17,257,0.02342980059,-0.05847594492,1
17,273,-0.1043241855,-0.1385426258,1
17,289,-0.01440762413,-0.4330143665,1
17,305,-0.09292877251,-0.3999008869,1
17,321,-0.5650623169,-0.5697865223,1
17,337,-1.014478714,-0.2503857349,1
17,353,-0.4352987521,-0.4024758075,1
17,369,0.2143108766,-0.254051659,1
17,385,0.2490479631,-0.0594353412,1
17,401,-0.5268209907,-0.07780692322,1
33,17,1.489919407,0.05064537767,1
33,33,0.3448717812,-0.09923217054,1
33,49,-0.00419108596,-0.4757466054,1
33,65,-0.09459321073,-0.3524155354,1
33,81,-0.007590570803,-0.3800453877,1
33,97,0.142247105,-0.2584480977,1
33,113,0.04339536051,-0.1734585499,1
33,129,-0.3582863857,-0.08245894667,1
33,145,-0.5430630836,0.04102089647,1
33,161,-0.4964551308,0.1717028881,1
33,177,-0.332205543,0.3053393627,1
33,193,-0.2093246419,0.3126330638,1
33,209,-0.08001817051,0.3048205638,1
33,225,0.1141704441,0.2575392986,1
33,241,0.2068410897,0.01639321095,1
33,257,0.1543436186,-0.09878775828,1
33,273,0.114951245,-0.09265563241,1
33,289,0.1608836645,-0.379543755,1
33,305,0.07002367419,-0.696661446,1
33,321,-0.06406091741,-0.5180077289,1
33,337,-0.2958244638,-0.2126946186,1
33,353,-0.2348261581,-0.1961331104,1
33,369,-0.2726247476,-0.3312077259,1
33,385,-0.1906739331,-0.0214943622,1
33,401,-0.4944569564,-0.02114722475,1
49,17,0.5907997117,-0.03858992811,1
49,33,0.4653964391,-0.08498427625,1
49,49,0.4097660276,-0.2459225392,1
49,65,0.1835300626,-0.2979626393,1
49,81,0.04992646289,-0.3109478688,1
49,97,-0.08801917917,-0.1684555745,1
49,113,-0.3183701382,-0.1004395222,1
49,129,-0.5012571562,-0.04447791334,1
49,145,-0.5231396968,-0.003164741954,1
49,161,-0.4908950095,0.1551223064,1
49,177,-0.3823525048,0.06911423449,1
49,193,-0.1487920136,0.1440940166,1
49,209,-0.05074844859,0.2099318767,1
49,225,0.03479876169,0.1931300426,1
49,241,0.1903426166,-0.01183173411,1
49,257,0.311165426,-0.08370063059,1
49,273,0.3728161613,-0.08274504892,1
49,289,0.4605414244,-0.09472701302,1
49,305,0.462615461,-0.2912583088,1
