PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
17,17,-0.381237204,-1.02623314,1
17,33,-1.620661724,-0.5519473438,1
17,49,-1.169087265,0.2399555424,1
17,65,-0.4930988997,0.5478168377,1
17,81,0.1959253604,0.4424086629,1
17,97,0.5560800071,0.331203578,1
17,113,0.4904031514,0.3709569802,1
17,129,0.06479667186,0.5412506102,1
17,145,-0.2708385361,0.6696751503,1
17,161,-0.2443257496,0.4171292962,1
17,177,0.03785406934,0.07853284473,1
17,193,0.2120218998,0.3399457334,1
17,209,0.2988070716,0.5997056436,1
17,225,0.3719941114,0.5231161661,1
17,241,0.2528656216,0.322427259,1
17,257,0.1080105131,0.1351176429,1
17,273,-0.2474159708,0.1098773065,1
17,289,-0.02834441647,-0.1639530959,1
17,305,0.2197928351,-0.1787427872,1
17,321,0.1228531308,-0.4643794378,1
17,337,-0.2350740383,-0.2976958702,1
17,353,-0.05398932929,-0.4521204221,1
17,369,0.1171498492,-0.6544541928,1
17,385,0.03854735201,-0.4858850398,1
17,401,-0.3444142091,0.04281086173,1
33,17,-0.6619078254,0.9671350639,1
33,33,-0.2028432815,0.02774029328,1
33,49,0.03086327113,0.1606532891,1
33,65,-0.1682026074,0.2041648896,1
33,81,0.04498528649,0.1541300965,1
33,97,0.1303480231,0.2196969867,1
33,113,-0.1349497512,0.3330647087,1
33,129,-0.3004562962,0.3716031302,1
33,145,-0.4345752053,0.3755957565,1
33,161,-0.3334032563,0.3273085139,1
33,177,-0.2080507164,0.3741410973,1
33,193,-0.1641211659,0.4300382049,1
33,209,-0.04793864505,0.5862034705,1
33,225,0.1995159658,0.5124950842,1
33,241,0.2516761276,0.2489071674,1
33,257,0.2732033431,0.1805333164,1
33,273,0.02083981087,0.132523408,1
33,289,0.09655819667,-0.1344349918,1
33,305,0.2279891255,-0.4053133639,1
33,321,0.07349301522,-0.4079280994,1
33,337,-0.1104082365,-0.3050046439,1
33,353,-0.1248220392,-0.311138191,1
33,369,-0.1926684389,-0.449521781,1
33,385,-0.147663601,-0.1859564038,1
33,401,-0.3419372344,0.1311466293,1
49,17,0.9216927105,0.6410125289,1
49,33,0.4314577054,0.3017938457,1
49,49,0.211791366,0.1922678864,1
49,65,0.02401014951,0.1462409128,1
49,81,-0.01810290374,0.147762946,1
49,97,-0.06485433777,0.1894842419,1
49,113,-0.2256704933,0.2406270931,1
49,129,-0.3786270092,0.2354364817,1
49,145,-0.4380532868,0.1950738604,1
49,161,-0.3223639318,0.2302194497,1
49,177,-0.2034733087,0.225990801,1
49,193,-0.07421713191,0.3378682441,1
49,209,0.01709180239,0.4211376389,1
49,225,0.09880801013,0.3813562135,1
49,241,0.2190060383,0.2175337615,1
49,257,0.3457432889,0.1513503607,1
49,273,0.3926469826,0.0723773481,1
49,289,0.3604474837,0.005455718419,1
49,305,0.2878955263,-0.129259011,1
49,321,0.1923328751,-0.2105864816,1
49,337,-0.08757623871,-0.06830651734,1
49,353,-0.1468457035,-0.1132282543,1
49,369,-0.1928254704,-0.152515067,1
49,385,-0.2131501094,0.06647803357,1
49,401,-0.2040086491,0.1893212988,1
65,17,1.003461998,0.1018778912,1
65,33,0.6101009738,0.1738535476,1
65,49,0.3035147088,0.259026372,1
65,65,0.05596737545,0.2643513682,1
65,81,-0.07943578943,0.1881989456,1
65,97,-0.2891525373,0.1819966117,1
65,113,-0.4420079444,0.1767033532,1
65,129,-0.4012958487,0.1487223582,1
65,145,-0.3933646541,0.1262668856,1
65,161,-0.3317121381,0.1363180243,1
65,177,-0.1991138997,0.1627918928,1
65,193,-0.05684270469,0.1947410543,1
65,209,0.09855272595,0.1812159195,1
65,225,0.227053062,0.2201971896,1
65,241,0.3133686735,0.1699158593,1
