PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
17,17,-0.003222896671,-0.2095021437,1
17,33,-0.7305885848,-0.5018044491,1
17,49,-0.6902850309,-0.2913472112,1
17,65,-0.3586417833,-0.1990821983,1
17,81,-0.09175676173,-0.271816815,1
17,97,0.148639332,-0.3020058965,1
17,113,0.1858423464,-0.2009835964,1
17,129,0.05000628501,-0.05834907535,1
17,145,-0.1657323018,0.03833399658,1
17,161,-0.2091507088,0.06961214116,1
17,177,-0.02184746262,0.03859436826,1
17,193,0.1840661925,0.1680541754,1
17,209,0.2858570993,0.08463960579,1
17,225,0.3908112389,0.3322998843,1
17,241,0.1786046464,0.05079499166,1
17,257,-0.02315512329,-0.06345503185,1
17,273,-0.09035812645,-0.02891904754,1
17,289,0.01737170472,-0.1845302194,1
17,305,0.07842978917,-0.2739814638,1
17,321,-0.3083555874,-0.4558804491,1
17,337,-0.5864292071,-0.306173447,1
17,353,-0.2546355843,-0.4279558885,1
17,369,0.1234369666,-0.5836827407,1
17,385,-0.02004629294,-0.4000702606,1
17,401,-0.6797503932,-0.04170320493,1
33,17,0.1688398934,0.6677989966,1
33,33,0.1531325542,-0.0494579035,1
33,49,0.1154900072,-0.08590786247,1
33,65,-0.01558010111,-0.07504385862,1
33,81,0.01451973466,-0.1446826007,1
33,97,0.06434896446,-0.1718034714,1
33,113,-0.08265007294,-0.1003566787,1
33,129,-0.2056568867,-0.02791717568,1
33,145,-0.2190029132,-0.000999128043,1
33,161,-0.1680608718,0.0488909607,1
33,177,-0.06735775452,0.171783434,1
33,193,-0.1001500766,0.3285514459,1
33,209,0.02394894523,0.365733722,1
33,225,0.1156247857,0.2461249276,1
33,241,0.1039862731,0.08876885814,1
33,257,0.07898281402,0.001615805464,1
33,273,0.007574536125,-0.0002476086444,1
33,289,0.04882777272,-0.1681371787,1
33,305,0.1342463648,-0.4415840543,1
33,321,0.03993735926,-0.3856342748,1
33,337,-0.1526855964,-0.1609049194,1
